safegraph_place_id,measure_date,day_total_visits,location_name
sg:c0a5d4ae7a88442e99008a4177f73984,2019-02-17,1,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-18,0,Bear Lake
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-18,6,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-18,2,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-19,5,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-19,1,Emerald Lake Trail
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-19,0,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-20,0,Bear Lake
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-20,2,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-20,8,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-21,5,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-21,10,Glacier Basin Campground
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-21,1,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-22,0,Bear Lake
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-22,5,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-22,6,Emerald Lake Trail
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-23,5,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-23,11,Glacier Basin Campground
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-23,0,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-24,0,Bear Lake
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-24,8,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-24,0,Emerald Lake Trail
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-25,0,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-25,2,Glacier Basin Campground
sg:c0a5d4ae7a88442e99008a4177f73984,2019-02-25,1,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-25,0,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-26,0,Bear Lake
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-26,2,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-26,5,Glacier Basin Campground
sg:c0a5d4ae7a88442e99008a4177f73984,2019-02-26,0,Hollowell Park Trailhead
sg:c0a5d4ae7a88442e99008a4177f73984,2019-02-27,0,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-27,1,Bear Lake
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-27,0,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-27,2,Glacier Basin Campground
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-02-28,5,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-02-28,3,Emerald Lake Trail
sg:c0a5d4ae7a88442e99008a4177f73984,2019-02-28,2,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-02-28,0,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-01,0,Bear Lake
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-01,3,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-01,15,Glacier Basin Campground
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-01,0,Hollowell Park Trailhead
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-02,0,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-02,1,Bear Lake
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-02,6,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-02,0,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-03,10,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-03,1,Emerald Lake Trail
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-03,0,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-03,0,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-04,1,Bear Lake
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-04,2,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-04,0,Glacier Basin Campground
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-04,0,Hollowell Park Trailhead
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-05,0,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-05,0,Bear Lake
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-05,5,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-05,3,Glacier Basin Campground
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-06,8,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-06,1,Emerald Lake Trail
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-06,0,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-06,0,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-07,0,Bear Lake
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-07,0,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-07,5,Glacier Basin Campground
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-07,0,Hollowell Park Trailhead
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-08,1,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-08,1,Bear Lake
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-08,2,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-08,18,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-09,8,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-09,14,Glacier Basin Campground
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-09,0,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-09,2,Bear Lake
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-10,4,Bear Lake
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-10,1,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-10,18,Glacier Basin Campground
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-10,0,Hollowell Park Trailhead
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-11,0,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-11,0,Bear Lake
sg:4a101b32337b489e8fd0c61572c1c970,2019-03-11,0,Upper Beaver Meadows
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-11,17,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-11,2,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-12,26,Glacier Basin Campground
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-12,8,Emerald Lake Trail
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-12,2,Hollowell Park Trailhead
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-12,2,Bear Lake
sg:4a101b32337b489e8fd0c61572c1c970,2019-03-12,1,Upper Beaver Meadows
sg:4a101b32337b489e8fd0c61572c1c970,2019-03-13,0,Upper Beaver Meadows
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-13,0,Bear Lake
sg:50d9b0f6122a4ec6b50c0ec8a2f96652,2019-03-13,0,Emerald Lake Trail
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-13,3,Glacier Basin Campground
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-13,0,Hollowell Park Trailhead
sg:c0a5d4ae7a88442e99008a4177f73984,2019-03-14,0,Hollowell Park Trailhead
sg:4a101b32337b489e8fd0c61572c1c970,2019-03-14,0,Upper Beaver Meadows
sg:560ab62c4c534c1286325ae6fa7b0310,2019-03-14,0,Bear Lake
sg:a5f0afb0a893464fa44bb741f2ca84c0,2019-03-14,10,Glacier Basin Campground
